domain,email_user,status,message,raw_response
karyamu.my.id,adi.172wijaya,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""adi.172wijaya+karyamu.my.id""}"
karyamu.my.id,adi.225ramadhan,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""adi.225ramadhan+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,adi.419tanjung,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""adi.419tanjung+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,adi.535halim,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""adi.535halim+karyamu.my.id"",""errors"":null}"
karyamu.my.id,adi.557halim,SUCCESS,Email berhasil dibuat,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""adi.557halim+karyamu.my.id"",""errors"":null,""warnings"":null}"
karyamu.my.id,adi.628siahaan,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""adi.628siahaan+karyamu.my.id"",""errors"":null}"
karyamu.my.id,adi.635sihombing,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""adi.635sihombing+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,adi.679pratama,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""adi.679pratama+karyamu.my.id""}"
karyamu.my.id,adi.726halim,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""adi.726halim+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,adi.831handayani,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""adi.831handayani+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,agus.113salim,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""agus.113salim+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,agus.213panjaitan,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""agus.213panjaitan+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,agus.215syahputra,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""agus.215syahputra+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,agus.229syahputra,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""agus.229syahputra+karyamu.my.id"",""errors"":null}"
karyamu.my.id,agus.238cahyani,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""agus.238cahyani+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,agus.323nasution,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""agus.323nasution+karyamu.my.id"",""errors"":null}"
karyamu.my.id,agus.402suryani,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""agus.402suryani+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,agus.560saputra,SUCCESS,Email berhasil dibuat,"{""data"":""agus.560saputra+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,agus.878prasetyo,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""agus.878prasetyo+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,agus.918mahendra,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""agus.918mahendra+karyamu.my.id""}"
karyamu.my.id,agus.957puspita,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""agus.957puspita+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,aldi.142ramadhan,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""aldi.142ramadhan+karyamu.my.id"",""errors"":null}"
karyamu.my.id,aldi.201mardiana,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""aldi.201mardiana+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,aldi.207mahendra,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""aldi.207mahendra+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,aldi.244setiawan,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""aldi.244setiawan+karyamu.my.id""}"
karyamu.my.id,aldi.256siahaan,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""aldi.256siahaan+karyamu.my.id"",""errors"":null}"
karyamu.my.id,aldi.396salim,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""aldi.396salim+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,aldi.438susanto,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""aldi.438susanto+karyamu.my.id"",""errors"":null}"
karyamu.my.id,aldi.518santoso,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""aldi.518santoso+karyamu.my.id""}"
karyamu.my.id,aldi.636kurniawan,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""aldi.636kurniawan+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,aldi.767situmorang,SUCCESS,Email berhasil dibuat,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""aldi.767situmorang+karyamu.my.id"",""errors"":null,""warnings"":null}"
karyamu.my.id,aldi.903lubis,SUCCESS,Email berhasil dibuat,"{""data"":""aldi.903lubis+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,aldi.974wijaya,SUCCESS,Email berhasil dibuat,"{""data"":""aldi.974wijaya+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,andi.115siahaan,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""andi.115siahaan+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,andi.271mahendra,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""andi.271mahendra+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,andi.281ramadhan,SUCCESS,Email berhasil dibuat,"{""data"":""andi.281ramadhan+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,andi.436subagyo,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""andi.436subagyo+karyamu.my.id"",""errors"":null}"
karyamu.my.id,andi.505kurniawan,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""andi.505kurniawan+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,andi.535situmorang,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""andi.535situmorang+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,andi.536pratama,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""andi.536pratama+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,andi.671maulana,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""andi.671maulana+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,andi.687permana,SUCCESS,Email berhasil dibuat,"{""data"":""andi.687permana+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,andi.880syahputra,SUCCESS,Email berhasil dibuat,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""andi.880syahputra+karyamu.my.id"",""errors"":null,""warnings"":null}"
karyamu.my.id,andi.925siregar,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""andi.925siregar+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,andi.960hutapea,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""andi.960hutapea+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,anita.222wibowo,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""anita.222wibowo+karyamu.my.id"",""errors"":null}"
karyamu.my.id,anita.226mardiana,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""anita.226mardiana+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,anita.247mardiana,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""anita.247mardiana+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,anita.260ginting,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""anita.260ginting+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,anita.282purnomo,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""anita.282purnomo+karyamu.my.id"",""errors"":null}"
karyamu.my.id,anita.324hartono,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""anita.324hartono+karyamu.my.id""}"
karyamu.my.id,anita.359nasution,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""anita.359nasution+karyamu.my.id"",""errors"":null}"
karyamu.my.id,anita.411suryani,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""anita.411suryani+karyamu.my.id"",""errors"":null}"
karyamu.my.id,anita.435pranata,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""anita.435pranata+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,anita.458hartono,SUCCESS,Email berhasil dibuat,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""anita.458hartono+karyamu.my.id"",""errors"":null,""warnings"":null}"
karyamu.my.id,anita.577santoso,SUCCESS,Email berhasil dibuat,"{""data"":""anita.577santoso+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
