source_file,domain,email_user,status,message,raw_response
accounts_127.csv,satujuan.my.id,stevenlu.52,FAILED,The account stevenlu.52@satujuan.my.id already exists!,"{""data"":null,""errors"":[""The account stevenlu.52@satujuan.my.id already exists!""],""warnings"":null,""status"":0,""messages"":null,""metadata"":{}}"
accounts_127.csv,satujuan.my.id,stevenlu.93,FAILED,The account stevenlu.93@satujuan.my.id already exists!,"{""errors"":[""The account stevenlu.93@satujuan.my.id already exists!""],""data"":null,""warnings"":null,""messages"":null,""status"":0,""metadata"":{}}"
accounts_127.csv,satujuan.my.id,stevenma.57,FAILED,The account stevenma.57@satujuan.my.id already exists!,"{""metadata"":{},""messages"":null,""status"":0,""warnings"":null,""errors"":[""The account stevenma.57@satujuan.my.id already exists!""],""data"":null}"
accounts_127.csv,satujuan.my.id,stevenmy.81,FAILED,The account stevenmy.81@satujuan.my.id already exists!,"{""metadata"":{},""status"":0,""messages"":null,""warnings"":null,""data"":null,""errors"":[""The account stevenmy.81@satujuan.my.id already exists!""]}"
accounts_127.csv,satujuan.my.id,stevenrx.13,FAILED,The account stevenrx.13@satujuan.my.id already exists!,"{""status"":0,""messages"":null,""metadata"":{},""data"":null,""errors"":[""The account stevenrx.13@satujuan.my.id already exists!""],""warnings"":null}"
accounts_127.csv,satujuan.my.id,steventc.49,SUCCESS,Email created successfully,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""steventc.49+satujuan.my.id"",""errors"":null,""warnings"":null}"
accounts_127.csv,satujuan.my.id,steventw.90,SUCCESS,Email created successfully,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""steventw.90+satujuan.my.id"",""errors"":null,""warnings"":null}"
accounts_127.csv,satujuan.my.id,stevenzn.59,SUCCESS,Email created successfully,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""stevenzn.59+satujuan.my.id"",""errors"":null,""warnings"":null}"
accounts_127.csv,satujuan.my.id,tariac.72,SUCCESS,Email created successfully,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""tariac.72+satujuan.my.id"",""warnings"":null}"
accounts_127.csv,satujuan.my.id,taribk.55,SUCCESS,Email created successfully,"{""warnings"":null,""data"":""taribk.55+satujuan.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
accounts_127.csv,satujuan.my.id,taribo.50,SUCCESS,Email created successfully,"{""warnings"":null,""data"":""taribo.50+satujuan.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
accounts_127.csv,satujuan.my.id,tarigo.16,SUCCESS,Email created successfully,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""tarigo.16+satujuan.my.id"",""errors"":null}"
accounts_127.csv,satujuan.my.id,tarihf.63,SUCCESS,Email created successfully,"{""warnings"":null,""data"":""tarihf.63+satujuan.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
accounts_127.csv,satujuan.my.id,tarihy.56,SUCCESS,Email created successfully,"{""errors"":null,""data"":""tarihy.56+satujuan.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
accounts_127.csv,satujuan.my.id,tarilf.35,SUCCESS,Email created successfully,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""tarilf.35+satujuan.my.id"",""errors"":null,""warnings"":null}"
accounts_127.csv,satujuan.my.id,tarilh.43,SUCCESS,Email created successfully,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""tarilh.43+satujuan.my.id"",""errors"":null}"
accounts_127.csv,satujuan.my.id,tarilt.90,SUCCESS,Email created successfully,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""tarilt.90+satujuan.my.id""}"
accounts_127.csv,satujuan.my.id,taript.19,SUCCESS,Email created successfully,"{""errors"":null,""data"":""taript.19+satujuan.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
accounts_127.csv,satujuan.my.id,tariqj.87,SUCCESS,Email created successfully,"{""data"":""tariqj.87+satujuan.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
accounts_127.csv,satujuan.my.id,tarirk.24,SUCCESS,Email created successfully,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""tarirk.24+satujuan.my.id"",""errors"":null,""warnings"":null}"
accounts_127.csv,satujuan.my.id,tariss.60,SUCCESS,Email created successfully,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""tariss.60+satujuan.my.id""}"
accounts_127.csv,satujuan.my.id,tarist.32,SUCCESS,Email created successfully,"{""errors"":null,""data"":""tarist.32+satujuan.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
