source_file,domain,email_user,status,message,raw_response
accounts_108.csv,phillorg.my.id,yunir.7937,FAILED,The account yunir.7937@phillorg.my.id already exists!,"{""status"":0,""messages"":null,""metadata"":{},""data"":null,""errors"":[""The account yunir.7937@phillorg.my.id already exists!""],""warnings"":null}"
accounts_108.csv,phillorg.my.id,yuniu.5500,FAILED,The account yuniu.5500@phillorg.my.id already exists!,"{""metadata"":{},""status"":0,""messages"":null,""warnings"":null,""data"":null,""errors"":[""The account yuniu.5500@phillorg.my.id already exists!""]}"
accounts_108.csv,phillorg.my.id,yunix.7600,FAILED,The account yunix.7600@phillorg.my.id already exists!,"{""metadata"":{},""messages"":null,""status"":0,""warnings"":null,""errors"":[""The account yunix.7600@phillorg.my.id already exists!""],""data"":null}"
accounts_108.csv,phillorg.my.id,yuniy.8841,SUCCESS,Email created successfully,"{""data"":""yuniy.8841+phillorg.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
accounts_108.csv,phillorg.my.id,yuniz.4596,SUCCESS,Email created successfully,"{""warnings"":null,""data"":""yuniz.4596+phillorg.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
accounts_109.csv,phillorg.my.id,anditoginting.788,SUCCESS,Email created successfully,"{""warnings"":null,""data"":""anditoginting.788+phillorg.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
accounts_109.csv,phillorg.my.id,anditogunawan.543,SUCCESS,Email created successfully,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""anditogunawan.543+phillorg.my.id""}"
accounts_109.csv,phillorg.my.id,anditohakim.188,SUCCESS,Email created successfully,"{""data"":""anditohakim.188+phillorg.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
accounts_109.csv,phillorg.my.id,anditohakim.225,SUCCESS,Email created successfully,"{""errors"":null,""data"":""anditohakim.225+phillorg.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
accounts_109.csv,phillorg.my.id,anditohalim.570,SUCCESS,Email created successfully,"{""errors"":null,""data"":""anditohalim.570+phillorg.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
accounts_109.csv,phillorg.my.id,anditohartono.615,SUCCESS,Email created successfully,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""anditohartono.615+phillorg.my.id""}"
accounts_109.csv,phillorg.my.id,anditohidayat.362,SUCCESS,Email created successfully,"{""data"":""anditohidayat.362+phillorg.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
accounts_109.csv,phillorg.my.id,anditohidayat.518,SUCCESS,Email created successfully,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""anditohidayat.518+phillorg.my.id"",""warnings"":null}"
accounts_109.csv,phillorg.my.id,anditoiskandar.331,SUCCESS,Email created successfully,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""anditoiskandar.331+phillorg.my.id"",""warnings"":null}"
accounts_109.csv,phillorg.my.id,anditosiahaan.571,SUCCESS,Email created successfully,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""anditosiahaan.571+phillorg.my.id"",""errors"":null}"
accounts_109.csv,phillorg.my.id,anditositumorang.324,SUCCESS,Email created successfully,"{""warnings"":null,""errors"":null,""data"":""anditositumorang.324+phillorg.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
accounts_109.csv,phillorg.my.id,andreasgunawan.293,SUCCESS,Email created successfully,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""andreasgunawan.293+phillorg.my.id"",""warnings"":null}"
accounts_109.csv,phillorg.my.id,andreashakim.101,SUCCESS,Email created successfully,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""andreashakim.101+phillorg.my.id"",""errors"":null}"
accounts_109.csv,phillorg.my.id,andreashalim.367,SUCCESS,Email created successfully,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""andreashalim.367+phillorg.my.id""}"
accounts_109.csv,phillorg.my.id,andreashutapea.585,SUCCESS,Email created successfully,"{""warnings"":null,""errors"":null,""data"":""andreashutapea.585+phillorg.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
accounts_109.csv,phillorg.my.id,andreaskusuma.283,SUCCESS,Email created successfully,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""andreaskusuma.283+phillorg.my.id"",""errors"":null,""warnings"":null}"
accounts_109.csv,phillorg.my.id,andreasmardiana.411,SUCCESS,Email created successfully,"{""warnings"":null,""data"":""andreasmardiana.411+phillorg.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
accounts_109.csv,phillorg.my.id,andreasnasution.382,SUCCESS,Email created successfully,"{""errors"":null,""data"":""andreasnasution.382+phillorg.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
